1,-1.0610942,male,caucasian,-0.16450366,-0.13835943,-0.5048374,-0.14963585,m,battery,0.81869256
0,0.984485,female,caucasian,-0.20483808,-0.2821574,-0.7099276,-0.14963585,m,battery,-0.6708142
1,-0.12353707,male,african_american,-0.17026572,-0.15975742,0.11043316,-0.14963585,f,arrest_case_no_charge,-0.6708142
1,3.030064,male,african_american,-0.21060014,-0.30297247,-0.7099276,-0.14963585,m,driving_under_the_influence,-0.6708142
1,-0.8906293,female,caucasian,0.26765087,0.4407969,-0.7099276,-0.14963585,f,possession_of_cocaine,0.81869256
1,0.55832267,female,african_american,-0.21060014,-0.30512285,-0.7099276,-0.14963585,m,battery,-0.6708142
1,0.81402004,female,african_american,-0.20483808,-0.28069022,0.52061355,-0.14963585,f,possession_of_cocaine,-0.6708142
0,2.0072746,male,african_american,-0.19331396,0.90613383,3.5969665,-0.14963585,m,arrest_case_no_charge,-0.6708142
0,-0.5496994,male,caucasian,-0.19907603,-0.26660013,-0.7099276,-0.14963585,m,battery,-0.6708142
0,2.9448316,male,african_american,-0.21060014,-0.30073363,-0.5048374,-0.14963585,f,carrying_concealed_firearm,-0.6708142
0,1.9220421,male,african_american,0.46356094,0.21185824,-0.5048374,-0.14963585,f,felony_petit_theft,0.81869256
0,-1.3167917,male,african_american,-0.18178985,-0.13565987,-0.5048374,-0.14963585,m,battery,0.81869256
1,-0.294002,male,african_american,-0.21060014,-0.30544373,-0.094657026,-0.14963585,f,felony_battery_dom_strang_,0.81869256
1,1.3254149,male,caucasian,-0.06654863,0.22161934,0.11043316,-0.14963585,m,disorderly_intoxication,-0.6708142
1,0.30262527,male,african_american,-0.20483808,-0.28848222,2.3664253,-0.14963585,f,possession_of_cocaine,-0.6708142
1,1.9220421,male,african_american,0.46356094,2.1257622,3.1867862,-0.14963585,f,felony_battery_w_prior_convict,-0.6708142
0,-0.5496994,male,caucasian,-0.21060014,-0.30274537,0.11043316,2.2879505,m,burglary_conveyance_unoccup,-0.6708142
0,2.2629719,male,african_american,0.06597876,-0.3095914,0.930794,-0.14963585,f,possession_of_cocaine,-0.6708142
1,-0.72016436,male,caucasian,-0.21060014,-0.30657604,-0.7099276,-0.14963585,f,tampering_with_physical_evidence,-0.6708142
0,0.984485,male,caucasian,-0.21060014,-0.30897886,-0.5048374,-0.14963585,m,battery,-0.6708142
1,-0.63493186,male,caucasian,0.11207525,-0.30612114,-0.7099276,-0.14963585,f,use_computer_for_child_exploit,-0.6708142
0,-1.1463267,male,caucasian,-0.21636221,-0.333837,-0.7099276,-0.14963585,f,grand_theft_in_the_3rd_degree,0.81869256
1,-0.37923446,male,caucasian,-0.21060014,-0.30448547,-0.29974723,-0.14963585,f,use_of_2_way_device_to_fac_fel,-0.6708142
